species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Mycobacterium_tuberculosis_h37rv	83332	Rv0411c	CCP43142	CCP43142	AL123456	CCP43142
Mycobacterium_tuberculosis_h37rv	83332	Rv0412c	CCP43143	CCP43143	AL123456	CCP43143
Mycobacterium_tuberculosis_h37rv	83332	Rv0413	CCP43144	CCP43144	AL123456	CCP43144
Mycobacterium_tuberculosis_h37rv	83332	Rv0414c	CCP43145	CCP43145	AL123456	CCP43145
Mycobacterium_tuberculosis_h37rv	83332	Rv0415	CCP43146	CCP43146	AL123456	CCP43146
Mycobacterium_tuberculosis_h37rv	83332	Rv0416	CCP43147	CCP43147	AL123456	CCP43147
Mycobacterium_tuberculosis_h37rv	83332	Rv0417	CCP43148	CCP43148	AL123456	CCP43148
Mycobacterium_tuberculosis_h37rv	83332	Rv0418	CCP43149	CCP43149	AL123456	CCP43149
Mycobacterium_tuberculosis_h37rv	83332	Rv0419	CCP43150	CCP43150	AL123456	CCP43150
Mycobacterium_tuberculosis_h37rv	83332	Rv0420c	CCP43151	CCP43151	AL123456	CCP43151
Mycobacterium_tuberculosis_h37rv	83332	Rv0421c	CCP43152	CCP43152	AL123456	CCP43152
Mycobacterium_tuberculosis_h37rv	83332	Rv0422c	CCP43153	CCP43153	AL123456	CCP43153
Mycobacterium_tuberculosis_h37rv	83332	Rv0423c	CCP43154	CCP43154	AL123456	CCP43154
Mycobacterium_tuberculosis_h37rv	83332	Rv0424c	CCP43155	CCP43155	AL123456	CCP43155
Mycobacterium_tuberculosis_h37rv	83332	Rv0425c	CCP43156	CCP43156	AL123456	CCP43156
Mycobacterium_tuberculosis_h37rv	83332	Rv0426c	CCP43157	CCP43157	AL123456	CCP43157
Mycobacterium_tuberculosis_h37rv	83332	Rv0427c	CCP43158	CCP43158	AL123456	CCP43158
Mycobacterium_tuberculosis_h37rv	83332	Rv0428c	CCP43159	CCP43159	AL123456	CCP43159
Mycobacterium_tuberculosis_h37rv	83332	Rv0429c	CCP43160	CCP43160	AL123456	CCP43160
Mycobacterium_tuberculosis_h37rv	83332	Rv0430	CCP43161	CCP43161	AL123456	CCP43161
Mycobacterium_tuberculosis_h37rv	83332	Rv0431	CCP43162	CCP43162	AL123456	CCP43162
Mycobacterium_tuberculosis_h37rv	83332	Rv0432	CCP43163	CCP43163	AL123456	CCP43163
Mycobacterium_tuberculosis_h37rv	83332	Rv0433	CCP43164	CCP43164	AL123456	CCP43164
Mycobacterium_tuberculosis_h37rv	83332	Rv0434	CCP43165	CCP43165	AL123456	CCP43165
Mycobacterium_tuberculosis_h37rv	83332	Rv0435c	CCP43166	CCP43166	AL123456	CCP43166
Mycobacterium_tuberculosis_h37rv	83332	Rv0436c	CCP43167	CCP43167	AL123456	CCP43167
Mycobacterium_tuberculosis_h37rv	83332	Rv0437c	CCP43168	CCP43168	AL123456	CCP43168
Mycobacterium_tuberculosis_h37rv	83332	Rv0438c	CCP43169	CCP43169	AL123456	CCP43169
Mycobacterium_tuberculosis_h37rv	83332	Rv0439c	CCP43170	CCP43170	AL123456	CCP43170
Mycobacterium_tuberculosis_h37rv	83332	Rv0440	CCP43171	CCP43171	AL123456	CCP43171
Mycobacterium_tuberculosis_h37rv	83332	Rv0441c	CCP43172	CCP43172	AL123456	CCP43172
Mycobacterium_tuberculosis_h37rv	83332	Rv0442c	CCP43173	CCP43173	AL123456	CCP43173
Mycobacterium_tuberculosis_h37rv	83332	Rv0443	CCP43174	CCP43174	AL123456	CCP43174
Mycobacterium_tuberculosis_h37rv	83332	Rv0444c	CCP43175	CCP43175	AL123456	CCP43175
Mycobacterium_tuberculosis_h37rv	83332	Rv0445c	CCP43176	CCP43176	AL123456	CCP43176
Mycobacterium_tuberculosis_h37rv	83332	Rv0446c	CCP43177	CCP43177	AL123456	CCP43177
Mycobacterium_tuberculosis_h37rv	83332	Rv0447c	CCP43178	CCP43178	AL123456	CCP43178
Mycobacterium_tuberculosis_h37rv	83332	Rv0448c	CCP43179	CCP43179	AL123456	CCP43179
Mycobacterium_tuberculosis_h37rv	83332	Rv0449c	CCP43180	CCP43180	AL123456	CCP43180
Mycobacterium_tuberculosis_h37rv	83332	Rv0450c	CCP43181	CCP43181	AL123456	CCP43181
Mycobacterium_tuberculosis_h37rv	83332	Rv0451c	CCP43182	CCP43182	AL123456	CCP43182
Mycobacterium_tuberculosis_h37rv	83332	Rv0452	CCP43183	CCP43183	AL123456	CCP43183
Mycobacterium_tuberculosis_h37rv	83332	Rv0453	CCP43184	CCP43184	AL123456	CCP43184
Mycobacterium_tuberculosis_h37rv	83332	Rv0454	CCP43185	CCP43185	AL123456	CCP43185
Mycobacterium_tuberculosis_h37rv	83332	Rv0455c	CCP43186	CCP43186	AL123456	CCP43186
Mycobacterium_tuberculosis_h37rv	83332	Rv0456A	CCP43188	CCP43188	AL123456	CCP43188
Mycobacterium_tuberculosis_h37rv	83332	Rv0456B	CCP43189	CCP43189	AL123456	CCP43189
Mycobacterium_tuberculosis_h37rv	83332	Rv0456c	CCP43187	CCP43187	AL123456	CCP43187
Mycobacterium_tuberculosis_h37rv	83332	Rv0457c	CCP43190	CCP43190	AL123456	CCP43190
